condition,mask_strategy,observation_fraction,family,seed,rmse,correlation,correlation_retention,spectral_information_loss,parameter_estimation_error
naive_baseline,window,0.75,sine,3,0.4242640687119285,nan,nan,0.08570991287109664,0.0
oracle,window,0.5,sine,3,0.23682816107333476,0.90376193225246,0.8167856301887002,0.10937659773568931,0.0
blind,window,0.5,sine,3,0.21477400850177836,0.8726260975528249,0.7614763061302724,0.12959639949237567,0.043333333333333335
interpolation_baseline,window,0.5,sine,3,0.4380178751118826,0.9262878072582122,0.8580091018752269,0.15599937163208333,0.0
naive_baseline,window,0.5,sine,3,0.4242640687119285,nan,nan,0.08570991287109664,0.0
oracle,window,0.25,sine,3,0.17448437549300297,0.9139020904968799,0.8352170310145672,0.10614687834426895,0.0
blind,window,0.25,sine,3,0.17178167550443893,0.9229551568470584,0.8518462215505782,0.12442043888550458,0.6766666666666666
interpolation_baseline,window,0.25,sine,3,0.2350050527861517,0.9339702785438757,0.8723004812033248,0.1534415123075552,0.0
naive_baseline,window,0.25,sine,3,0.4242640687119285,nan,nan,0.08570991287109664,0.0
oracle,window,0.1,sine,3,0.3018802903422091,0.8960129589911222,0.8028392226800265,0.14086201358425576,0.0
blind,window,0.1,sine,3,0.2580551001988252,0.9131447486829216,0.8338333320471961,0.14593586331265418,1.0333333333333334
interpolation_baseline,window,0.1,sine,3,0.24347540549551686,0.9162608749581962,0.8395339909791593,0.1504676694207937,0.0
naive_baseline,window,0.1,sine,3,0.4242640687119285,nan,nan,0.08570991287109664,0.0
oracle,random,1.0,sine,3,0.002267700221647602,0.9999999544472734,0.9999999088945489,0.04466498910844374,0.0
blind,random,1.0,sine,3,0.014640278645338546,0.9999953478919128,0.9999906958054677,0.11618223599386435,0.3566666666666667
interpolation_baseline,random,1.0,sine,3,0.23137198777081117,0.9991894017428969,0.9983794605553283,0.0038458463135054854,0.0
naive_baseline,random,1.0,sine,3,0.4242640687119285,nan,nan,0.08570991287109664,0.0
oracle,random,0.75,sine,3,0.003269901124929103,0.9999784000414162,0.9999568005493907,0.0798711606474467,0.0
blind,random,0.75,sine,3,0.015495118680132227,0.9999710700215634,0.9999421408800704,0.08766967474677945,0.3566666666666667
interpolation_baseline,random,0.75,sine,3,0.23042843334830154,0.9991974130384469,0.9983954702227247,0.09390244787625956,0.0
naive_baseline,random,0.75,sine,3,0.4242640687119285,nan,nan,0.08570991287109664,0.0
oracle,random,0.5,sine,3,0.04281050448761101,0.9951083567474727,0.9902406416686553,0.10040983344339838,0.0
blind,random,0.5,sine,3,0.04553701011011698,0.9948290959589858,0.989684930166573,0.09758279595071773,0.3566666666666667
interpolation_baseline,random,0.5,sine,3,0.2329825372079684,0.9963706036987379,0.9927543799149874,0.12047898718166727,0.0
naive_baseline,random,0.5,sine,3,0.4242640687119285,nan,nan,0.08570991287109664,0.0
oracle,random,0.25,sine,3,0.05201636406730105,0.9936653965403086,0.9873709202816088,0.11414170825351877,0.0
blind,random,0.25,sine,3,0.05970802194307682,0.9933436595770531,0.9867316260219323,0.111609901345327,0.3566666666666667
interpolation_baseline,random,0.25,sine,3,0.203315939336502,0.9955057565706402,0.9910317113652828,0.1314906061518719,0.0
naive_baseline,random,0.25,sine,3,0.4242640687119285,nan,nan,0.08570991287109664,0.0
oracle,random,0.1,sine,3,0.3078210702211708,0.9150017042723004,0.8372281188212143,0.17090311722146045,0.0
blind,random,0.1,sine,3,0.30467147252560844,0.9156432180077677,0.8384025026836204,0.17695483471308115,0.6766666666666666
interpolation_baseline,random,0.1,sine,3,0.3178685288741699,0.915310905353341,0.8377940534587528,0.1851891716493943,0.0
naive_baseline,random,0.1,sine,3,0.4242640687119285,nan,nan,0.08570991287109664,0.0
